date,tournament,player_1,player_2,elo_1,elo_2,odds_1,odds_2,imp_prob_1,imp_prob_2,est_prob_1,est_prob_2,value_diff_1,value_diff_2,bet_type
2024-12-29,Brisbane International,Vukic A.,Goffin D.,1500,1500,2.0,1.8,0.5,0.556,0.5,0.5,0.0,-0.056,none
2024-12-30,Brisbane International,Michelsen A.,O Connell C.,1500,1500,1.44,2.75,0.694,0.364,0.5,0.5,-0.194,0.136,value_O Connell C.
2024-12-30,Brisbane International,Bonzi B.,Tabilo A.,1500,1500,1.67,2.2,0.599,0.455,0.5,0.5,-0.099,0.045,none
2024-12-30,Brisbane International,Nishioka Y.,Rinderknech A.,1500,1500,1.53,2.5,0.654,0.4,0.5,0.5,-0.154,0.1,none
2024-12-30,Brisbane International,Thompson J.,Berrettini M.,1500,1500,2.63,1.5,0.38,0.667,0.5,0.5,0.12,-0.167,value_Thompson J.
2024-12-30,Brisbane International,Jarry N.,Navone M.,1500,1500,1.36,3.2,0.735,0.312,0.5,0.5,-0.235,0.188,value_Navone M.
2024-12-30,Brisbane International,Dimitrov G.,Hanfmann Y.,1500,1500,1.14,5.5,0.877,0.182,0.5,0.5,-0.377,0.318,value_Hanfmann Y.
2024-12-30,Brisbane International,Lehecka J.,Rune H.,1500,1500,2.5,1.53,0.4,0.654,0.5,0.5,0.1,-0.154,none
2024-12-31,Brisbane International,Opelka R.,Gomez F.,1500,1500,1.5,2.63,0.667,0.38,0.5,0.5,-0.167,0.12,value_Gomez F.
2024-12-31,Brisbane International,Arnaldi M.,Popyrin A.,1500,1500,2.5,1.53,0.4,0.654,0.5,0.5,0.1,-0.154,none
2024-12-31,Brisbane International,Tiafoe F.,Walton A.,1500,1500,1.22,4.33,0.82,0.231,0.5,0.5,-0.32,0.269,value_Walton A.
2024-12-31,Brisbane International,Mensik J.,Kukushkin M.,1500,1500,1.29,3.75,0.775,0.267,0.5,0.5,-0.275,0.233,value_Kukushkin M.
2024-12-31,Brisbane International,Mpetshi G.,Kyrgios N.,1500,1500,1.91,1.91,0.524,0.524,0.5,0.5,-0.024,-0.024,none
2024-12-31,Brisbane International,Monfils G.,Basavareddy N.,1500,1500,1.62,2.3,0.617,0.435,0.5,0.5,-0.117,0.065,none
2024-12-31,Brisbane International,Djokovic N.,Hijikata R.,1500,1500,1.04,13.0,0.962,0.077,0.5,0.5,-0.462,0.423,value_Hijikata R.
2025-01-01,Brisbane International,Lehecka J.,Nishioka Y.,1500,1500,1.36,3.2,0.735,0.312,0.5,0.5,-0.235,0.188,value_Nishioka Y.
2025-01-01,Brisbane International,Jarry N.,Bonzi B.,1500,1500,2.63,1.5,0.38,0.667,0.5,0.5,0.12,-0.167,value_Jarry N.
2025-01-01,Brisbane International,Dimitrov G.,Vukic A.,1500,1500,1.2,4.5,0.833,0.222,0.5,0.5,-0.333,0.278,value_Vukic A.
